2025-07-01 03:39:00.589 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'jdbcConnectionDetails' via factory method to bean named 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
2025-07-01 03:39:00.590 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'dataSource' via factory method to bean named 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
2025-07-01 03:39:00.590 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'dataSource' via factory method to bean named 'jdbcConnectionDetails'
2025-07-01 03:39:00.590 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'dataSource' via factory method to bean named 'environment'
2025-07-01 03:39:00.596 DEBUG kinzannoMacBook-Pro.local          c.z.h.HikariConfig : Class org.postgresql.Driver found in Thread context class loader jdk.internal.loader.ClassLoaders$AppClassLoader@4e0e2f2a
2025-07-01 03:39:00.620 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'dbUnitDatabaseConnection' via factory method to bean named 'dbUnitDatabaseConfig'
2025-07-01 03:39:00.620 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'dbUnitDatabaseConnection' via factory method to bean named 'dataSource'
2025-07-01 03:39:00.622 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'configurationCustomizer'
2025-07-01 03:39:00.624 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2025-07-01 03:39:00.625 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration'
2025-07-01 03:39:00.625 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration'
2025-07-01 03:39:00.626 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'spring.ssl-org.springframework.boot.autoconfigure.ssl.SslProperties'
2025-07-01 03:39:00.628 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration' via constructor to bean named 'org.springframework.web.context.support.GenericWebApplicationContext@d5556bf'
2025-07-01 03:39:00.628 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration' via constructor to bean named 'spring.ssl-org.springframework.boot.autoconfigure.ssl.SslProperties'
2025-07-01 03:39:00.632 DEBUG kinzannoMacBook-Pro.local          o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'fileWatcher'
